,name,main_category,rating,reviews,categories,address,city,country,state,zipcode,broader_category,Weighted_Score,Weighted_Average,All_Cities
0,Meymand Rocky Village,Historical place,4.7,133.0,"Historical place, Tourist attraction","Meymand Rocky Village, 69JH+H2W, Meymand, Kerman Province",Meymand,Iran,Kerman,,Cultural,625.1,4.7,"Jiroft, Kerman, Meymand, Rafsanjan"
1,Dena Protected Area,National park,4.4,89.0,"National park, Tourist attraction","Kohgiluyeh and Boyer-Ahmad Province, 55, XCG3+8V2 Dena Protected Area",Yasouj,Iran,Kohgiluyeh and Buyer Ahmad,,Nature,391.6,4.4,Yasouj
2,Tang-e Tamoradi Waterfall,Tourist attraction,4.5,413.0,Tourist attraction,"Kohgiluyeh and Boyer-Ahmad Province, Baba Meydan-e Sofla, jdh yswj-bbmydn, GC79+CCG Tang-e Tamoradi Waterfall",Yasouj,Iran,Kohgiluyeh and Buyer Ahmad,,Entertainment,1858.5,4.49,Yasouj
3,tng mhryn,Tourist attraction,4.4,67.0,Tourist attraction,"Kohgiluyeh and Boyer-Ahmad Province, Yasuj, jdh yswj-qlyd, PH3J+477 tng mhryn",Yasouj,Iran,Kohgiluyeh and Buyer Ahmad,,Entertainment,294.8,4.49,Yasouj
4,Alangdareh Park,National forest,4.6,683.0,"National forest, Tourist attraction","Golestan Province, Gorgan, Alangdareh Rd, No. Nahar Khoran, QCRX+XQP Alangdareh Park",Gorgan,Iran,Golestan,,Nature,3141.7999999999997,4.55,"Aliabad-katul, Bojnurd, Gonbad-e-kavus, Gorgan, Kordkuy, Shahroud, Shahrud"
5,Gorgan Palace Museum,Historical place museum,4.1,124.0,"Historical place museum, Tourist attraction","Gorgan Palace Museum, RCQM+FW2, Gorgan, Golestan Province",Gorgan,Iran,Golestan,,Cultural,508.4,4.4,"Aliabad-katul, Bojnurd, Gonbad-e-kavus, Gorgan, Kordkuy, Shahroud, Shahrud"
6,Jahan Nama Protected Area.,Nature preserve,4.6,122.0,"Nature preserve, Tourist attraction","Jahan Nama Protected Area., J88F+XWX, Hajiabad, Golestan Province",Gorgan,Iran,Golestan,,Nature,561.1999999999999,4.55,"Aliabad-katul, Bojnurd, Gonbad-e-kavus, Gorgan, Kordkuy, Shahroud, Shahrud"
7,Sueh Chaleh,Tourist attraction,4.7,1579.0,Tourist attraction,"Sueh Chaleh, 7WVX+Q8W, Masal, Gilan Province",Masouleh,Iran,Gilan,,Entertainment,7421.3,4.52,"Astara, Bandar-anzali, Lahijan, Masouleh, Rasht, Rudbar"
8,Masuleh Tourism Village,Tourist attraction,4.6,914.0,Tourist attraction,"Gilan Province, Masuleh, Masole-Gilavan Rd, 5X3Q+JX9 Masuleh Tourism Village",Masouleh,Iran,Gilan,,Entertainment,4204.4,4.52,"Astara, Bandar-anzali, Lahijan, Masouleh, Rasht, Rudbar"
9,Olsabelangah,Tourist attraction,4.7,885.0,Tourist attraction,"Olsabelangah, 8X66+25X, Tanian, Gilan Province",Masouleh,Iran,Gilan,,Entertainment,4159.5,4.52,"Astara, Bandar-anzali, Lahijan, Masouleh, Rasht, Rudbar"
10,Masouleh Waterfall,Scenic spot,4.5,713.0,"Scenic spot, Historical landmark, Tourist attraction","Masouleh Waterfall, 5X3J+7WQ, Masuleh, Gilan Province",Masouleh,Iran,Gilan,,Nature,3208.5,4.34,"Astara, Bandar-anzali, Lahijan, Masouleh, Rasht, Rudbar"
11,Zomorrod Waterfall,Landmark,4.6,520.0,"Landmark, Tourist attraction","Zomorrod Waterfall, 4R79+WPV, Zomori, Gilan Province",Masouleh,Iran,Gilan,,Cultural,2392.0,4.59,"Astara, Bandar-anzali, Lahijan, Masouleh, Rasht, Rudbar"
12,Gasht Rodkan Protected Area,National park,4.5,303.0,"National park, Tourist attraction","Gasht Rodkan Protected Area, 357H+J9Q, Gilan Province",Masouleh,Iran,Gilan,,Nature,1363.5,4.34,"Astara, Bandar-anzali, Lahijan, Masouleh, Rasht, Rudbar"
13,Great Museum of Zahedan,Museum,4.4,151.0,"Museum, Tourist attraction","Sistan and Baluchestan Province, Zahedan, Motahhari Blvd, FVMF+W6M Great Museum of Zahedan",Zahedan,Iran,Sistan and Baluchestan,,Cultural,664.4000000000001,4.21,"Iranshahr, Nikshahr, Zabol, Zahedan"
